day,susceptible,infected,recovered
0,76266,4649,3195
1,67079,8236,8795
2,58196,10384,15530
3,50180,11055,22875
4,43616,10655,29839
5,38074,9677,36359
6,33586,8424,42100
7,29975,7278,46857
8,27115,6063,50932
9,24816,5041,54253
10,22988,4122,57000
11,21611,3331,59168
12,20440,2708,60962
13,19595,2141,62374
14,18916,1732,63462
15,18434,1306,64370
16,18069,1012,65029
17,17786,752,65572
18,17599,580,65931
19,17467,400,66243
20,17361,322,66427
21,17271,244,66595
22,17222,181,66707
23,17181,135,66794
24,17154,95,66861